epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,15345.9,1.05742,0.99539,0.12308,0.74867,0.99911,0.89726,0.85944,0.91028,0.64874,0.80188,0.7721,0.76893,0.74127,1.00096,1.36341,0.00661,0.63633,0.97131,0.007426,0.007426,0.007426
28,15806.8,1.04726,0.93167,0.12099,0.73344,0.99569,0.90511,0.84709,0.90339,0.64749,0.79477,0.76808,0.76907,0.74752,0.99011,1.28655,0.00437,0.62946,0.96835,0.007327,0.007327,0.007327
29,16216.4,1.05401,0.86267,0.12734,0.74189,0.9951,0.91989,0.87585,0.92148,0.66507,0.8408,0.80999,0.81848,0.79991,0.98309,1.11278,0.00715,0.60488,0.96065,0.007228,0.007228,0.007228
30,16596,1.02716,0.7915,0.12077,0.71327,0.98652,0.89223,0.87434,0.92105,0.66919,0.80545,0.79917,0.78004,0.74933,0.97232,1.35186,0.00611,0.59514,0.96136,0.007129,0.007129,0.007129
31,16947.2,1.02335,0.84611,0.11126,0.71449,0.98002,0.9196,0.88321,0.93001,0.67513,0.83917,0.80579,0.80976,0.78682,0.95875,1.22134,0.00605,0.5809,0.96067,0.00703,0.00703,0.00703
32,17298.3,1.01619,0.82655,0.11681,0.71086,0.98639,0.922,0.87888,0.9224,0.67151,0.81803,0.80091,0.79694,0.77835,0.97742,1.24845,0.00625,0.58227,0.95804,0.006931,0.006931,0.006931
33,17650.6,1.01544,0.70895,0.12026,0.7044,0.98128,0.88788,0.88948,0.91391,0.6614,0.81005,0.81151,0.79926,0.78033,0.95634,1.15378,0.00877,0.59607,0.94552,0.006832,0.006832,0.006832
34,17997.3,1.01419,0.746,0.11432,0.69539,0.98108,0.92004,0.87207,0.92557,0.6851,0.84835,0.81309,0.82871,0.81369,0.94494,1.0999,0.00694,0.56357,0.94403,0.006733,0.006733,0.006733
35,18342.8,0.99037,0.68863,0.11562,0.67266,0.97221,0.90983,0.86298,0.92442,0.68361,0.82008,0.78804,0.79724,0.78356,0.95065,1.22796,0.00668,0.58488,0.94859,0.006634,0.006634,0.006634
36,18688.8,0.98786,0.75784,0.1107,0.68252,0.97,0.92484,0.88495,0.93033,0.68986,0.86217,0.80972,0.82529,0.81376,0.92485,1.06546,0.00553,0.55695,0.94058,0.006535,0.006535,0.006535
37,19035.7,0.97366,0.64541,0.11035,0.66691,0.96448,0.92731,0.89099,0.92844,0.69359,0.85974,0.83061,0.83575,0.82392,0.91818,1.03633,0.00652,0.55057,0.93039,0.006436,0.006436,0.006436
