epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.909,2.06323,3.8235,0.46181,2.48528,1.48652,0.56499,0.66103,0.6093,0.34131,0.44107,0.47714,0.35501,0.19316,1.5184,3.69087,0.0837,1.35043,1.11303,0.00332672,0.00332672,0.00332672
2,317.281,1.56076,2.93639,0.26296,1.33764,1.12157,0.55777,0.52156,0.51791,0.29985,0.43137,0.39741,0.30761,0.20297,1.55676,3.37627,0.04894,1.36615,1.16124,0.00659412,0.00659412,0.00659412
3,472.566,1.62493,2.80825,0.24036,1.44397,1.18026,0.52162,0.56759,0.47279,0.25436,0.36264,0.42193,0.26541,0.1903,1.68346,3.47874,0.05742,1.54435,1.23757,0.00979552,0.00979552,0.00979552
4,628.941,1.66967,2.80353,0.22864,1.49522,1.24239,0.61066,0.61531,0.58668,0.32115,0.45697,0.46322,0.33325,0.2377,1.57528,3.36291,0.02966,1.39548,1.21057,0.009703,0.009703,0.009703
5,784.178,1.57658,2.66574,0.21232,1.38861,1.19835,0.63264,0.62624,0.60287,0.34119,0.47655,0.45924,0.33419,0.2396,1.49826,3.2931,0.0328,1.25896,1.18992,0.009604,0.009604,0.009604
6,938.775,1.52959,2.49903,0.2053,1.33853,1.17031,0.68619,0.67599,0.65388,0.40324,0.49469,0.5,0.37288,0.32082,1.3668,3.13441,0.01745,1.11677,1.11737,0.009505,0.009505,0.009505
7,1094.93,1.46183,2.32347,0.20243,1.25821,1.15016,0.67817,0.63048,0.66427,0.3961,0.48839,0.50398,0.3957,0.30714,1.36649,2.92465,0.01617,1.1711,1.1339,0.009406,0.009406,0.009406
8,1249.81,1.41101,2.13761,0.1893,1.20705,1.12659,0.70603,0.69682,0.6888,0.429,0.54477,0.54374,0.43275,0.34369,1.32008,2.9126,0.01462,1.15024,1.08548,0.009307,0.009307,0.009307
9,1405.95,1.38751,2.14145,0.18313,1.1841,1.11346,0.71915,0.70775,0.69499,0.43207,0.55147,0.56064,0.4475,0.3864,1.32907,2.77511,0.01345,1.05787,1.08809,0.009208,0.009208,0.009208
10,1561.06,1.35443,2.10873,0.17939,1.15359,1.0888,0.7081,0.72664,0.72089,0.45243,0.54668,0.5497,0.46363,0.40685,1.27868,2.67022,0.01863,1.00666,1.07232,0.009109,0.009109,0.009109
11,1716.19,1.33851,1.98361,0.1833,1.11849,1.08877,0.73301,0.73411,0.71776,0.44719,0.57159,0.57428,0.45754,0.40978,1.28637,2.65457,0.01449,0.99296,1.07465,0.00901,0.00901,0.00901
12,1872.75,1.30814,1.85072,0.17357,1.09557,1.07439,0.68778,0.72763,0.70524,0.45477,0.5294,0.58847,0.46363,0.41894,1.23515,2.52716,0.00996,0.99543,1.04783,0.008911,0.008911,0.008911
13,2027.37,1.30196,1.92678,0.16923,1.08646,1.07033,0.73661,0.74502,0.72768,0.46046,0.59967,0.59543,0.50984,0.46071,1.25441,2.53121,0.01468,0.96153,1.0497,0.008812,0.008812,0.008812
14,2183.5,1.29781,1.8076,0.16269,1.0728,1.06327,0.72688,0.77833,0.73903,0.46636,0.59252,0.61576,0.51024,0.4411,1.24907,2.43554,0.01099,0.93093,1.03231,0.008713,0.008713,0.008713
15,2338.24,1.27154,1.78286,0.16504,1.05517,1.05538,0.73691,0.78429,0.7455,0.48347,0.5908,0.61133,0.50532,0.45164,1.21421,2.41895,0.01235,0.92257,1.03506,0.008614,0.008614,0.008614
16,2493.69,1.24238,1.52932,0.16235,1.01666,1.047,0.69629,0.72863,0.7227,0.46346,0.56216,0.59245,0.48518,0.43317,1.22103,2.45922,0.02196,0.9929,1.04553,0.008515,0.008515,0.008515
17,2649.36,1.23604,1.59971,0.15815,1.01919,1.03511,0.71912,0.70875,0.71524,0.4698,0.57936,0.57504,0.49123,0.44496,1.23609,2.54876,0.00794,0.95974,1.03412,0.008416,0.008416,0.008416
18,2804.33,1.24154,1.61868,0.16361,1.01478,1.03959,0.76999,0.7664,0.76391,0.50702,0.6618,0.65507,0.59191,0.52075,1.17369,2.08464,0.01123,0.87754,1.00708,0.008317,0.008317,0.008317
19,2960.84,1.22465,1.40311,0.15604,0.99183,1.03416,0.7403,0.76839,0.75468,0.50593,0.644,0.66203,0.58246,0.53554,1.15441,1.93181,0.00647,0.89768,1.01592,0.008218,0.008218,0.008218
20,3115.49,1.22572,1.39366,0.15922,0.99626,1.03087,0.74831,0.78628,0.76998,0.51687,0.64429,0.6824,0.58745,0.55352,1.15876,1.84099,0.01281,0.84677,0.99928,0.008119,0.008119,0.008119
21,3272.08,1.19225,1.31657,0.15458,0.9651,1.02275,0.75201,0.77166,0.76713,0.52252,0.6437,0.65907,0.58715,0.55863,1.13278,1.79763,0.00824,0.86381,0.99048,0.00802,0.00802,0.00802
22,3428.7,1.20996,1.35668,0.15679,0.97167,1.02408,0.76757,0.77141,0.77127,0.52706,0.66367,0.667,0.60136,0.5593,1.11318,1.91439,0.01438,0.86601,0.97915,0.007921,0.007921,0.007921
23,3583.85,1.17604,1.24582,0.14738,0.95617,1.00932,0.77243,0.7833,0.78326,0.53619,0.69008,0.67793,0.62226,0.58487,1.10141,1.73311,0.01567,0.83256,0.9796,0.007822,0.007822,0.007822
