epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,3739.89,1.15728,1.15168,0.14247,0.93481,1.00276,0.76417,0.79026,0.78837,0.54551,0.6781,0.70568,0.63649,0.60672,1.06866,1.50552,0.00756,0.82772,0.96094,0.007723,0.007723,0.007723
25,3894.72,1.16481,1.13406,0.13997,0.93299,1.00625,0.76053,0.80189,0.78733,0.54194,0.66466,0.7008,0.62345,0.58955,1.09703,1.71764,0.01194,0.82148,0.97312,0.007624,0.007624,0.007624
26,4051.76,1.15081,1.12054,0.13856,0.92173,0.99788,0.77598,0.76438,0.79287,0.54603,0.669,0.65698,0.59576,0.57041,1.07785,1.80209,0.00697,0.8224,0.97232,0.007525,0.007525,0.007525
27,4206.93,1.15639,1.11401,0.13848,0.91642,0.99748,0.74978,0.81913,0.78217,0.54232,0.67631,0.7167,0.62951,0.59986,1.10568,1.62005,0.00836,0.81283,0.97047,0.007426,0.007426,0.007426
28,4362.38,1.14067,1.054,0.13578,0.90857,0.99317,0.78164,0.82803,0.80522,0.55407,0.68513,0.72068,0.65653,0.62675,1.0886,1.64775,0.00748,0.79062,0.96672,0.007327,0.007327,0.007327
29,4518.78,1.1452,0.91506,0.13885,0.90333,0.98862,0.75719,0.79324,0.78418,0.54482,0.66845,0.70378,0.63429,0.60989,1.0631,1.48561,0.01146,0.79226,0.96619,0.007228,0.007228,0.007228
30,4673.32,1.12388,1.00108,0.13625,0.89669,0.98575,0.76807,0.82295,0.80522,0.56014,0.68539,0.71869,0.65264,0.61503,1.07107,1.58267,0.0074,0.76914,0.96486,0.007129,0.007129,0.007129
31,4830.11,1.1204,0.91233,0.12723,0.88022,0.9798,0.77494,0.82505,0.80972,0.56877,0.69176,0.73757,0.67596,0.64418,1.06461,1.45524,0.0071,0.77123,0.95655,0.00703,0.00703,0.00703
32,4984.75,1.10157,0.89236,0.13315,0.87528,0.97852,0.78592,0.8065,0.80796,0.56582,0.71908,0.73791,0.69001,0.66052,1.05412,1.34504,0.00774,0.78417,0.95477,0.006931,0.006931,0.006931
33,5139.93,1.1076,0.8463,0.13246,0.87726,0.98023,0.80031,0.80473,0.81378,0.57365,0.70923,0.72167,0.67528,0.6503,1.04052,1.47291,0.00711,0.76434,0.95468,0.006832,0.006832,0.006832
34,5295.34,1.10585,0.85292,0.128,0.85965,0.98018,0.78236,0.82505,0.82782,0.58793,0.71476,0.75473,0.70937,0.69432,1.0195,1.22979,0.00569,0.75108,0.94626,0.006733,0.006733,0.006733
35,5450.58,1.08767,0.80699,0.12735,0.84306,0.97402,0.78803,0.82505,0.82616,0.57983,0.72713,0.74169,0.70299,0.68007,1.03469,1.28993,0.00584,0.75972,0.94992,0.006634,0.006634,0.006634
36,5606.56,1.07805,0.83343,0.13016,0.84023,0.97006,0.79982,0.83797,0.83271,0.58925,0.72833,0.74851,0.69678,0.66852,1.02076,1.30397,0.00963,0.73968,0.94409,0.006535,0.006535,0.006535
37,5761.33,1.06454,0.79167,0.11789,0.83139,0.96359,0.80608,0.82641,0.84295,0.60362,0.74094,0.74488,0.7191,0.69173,0.99292,1.30628,0.0064,0.72482,0.93084,0.006436,0.006436,0.006436
38,5917.23,1.06555,0.70391,0.11657,0.82747,0.96531,0.77379,0.85008,0.83437,0.5965,0.7318,0.78114,0.7443,0.71447,1.02216,1.19255,0.00612,0.73741,0.93919,0.006337,0.006337,0.006337
39,6072.89,1.05721,0.6711,0.12333,0.83437,0.96013,0.82568,0.83499,0.85273,0.61189,0.75825,0.77932,0.75791,0.74442,1.00772,1.1081,0.00414,0.72623,0.93264,0.006238,0.006238,0.006238
40,6227.61,1.05296,0.67859,0.12417,0.80556,0.95748,0.79923,0.84493,0.83042,0.59725,0.73898,0.78628,0.74062,0.72395,0.99866,1.02328,0.00394,0.7258,0.93046,0.006139,0.006139,0.006139
41,6383.13,1.03397,0.71217,0.11681,0.79767,0.95792,0.79595,0.84918,0.84244,0.61124,0.72947,0.78131,0.72339,0.70685,0.97785,1.18865,0.00743,0.71204,0.92562,0.00604,0.00604,0.00604
42,6537.7,1.02852,0.65598,0.11348,0.79616,0.95255,0.79478,0.85189,0.84374,0.61578,0.73295,0.78827,0.74458,0.73188,0.96823,1.06291,0.00537,0.69475,0.92111,0.005941,0.005941,0.005941
43,6693.33,1.01596,0.60784,0.1111,0.78136,0.94474,0.80608,0.84493,0.84676,0.62033,0.75582,0.79077,0.75792,0.74355,0.96031,1.00683,0.00458,0.68284,0.91726,0.005842,0.005842,0.005842
44,6848.98,1.01837,0.56538,0.11523,0.79128,0.9458,0.81377,0.85885,0.85379,0.61781,0.76215,0.79722,0.75915,0.74204,0.97618,1.03076,0.00464,0.68092,0.92398,0.005743,0.005743,0.005743
45,7004.14,1.00983,0.58169,0.10971,0.77191,0.94948,0.81217,0.85288,0.85272,0.62284,0.75358,0.79646,0.75895,0.74323,0.97393,1.01436,0.00543,0.67943,0.92063,0.005644,0.005644,0.005644
46,7160.38,1.00677,0.58083,0.10776,0.77232,0.94423,0.83337,0.86505,0.86018,0.63312,0.76126,0.79722,0.76776,0.75574,0.94777,1.07301,0.0041,0.67303,0.91675,0.005545,0.005545,0.005545
47,7315.08,0.99766,0.56852,0.10804,0.76229,0.94353,0.80418,0.86545,0.85692,0.63349,0.75445,0.78799,0.7417,0.72546,0.92482,1.09063,0.00463,0.66019,0.90913,0.005446,0.005446,0.005446
48,7470.76,0.99408,0.55093,0.10889,0.74823,0.93437,0.8192,0.86023,0.86237,0.63818,0.77848,0.79026,0.77865,0.77064,0.9512,0.91924,0.00524,0.65154,0.91047,0.005347,0.005347,0.005347
49,7626.56,0.98881,0.48931,0.10878,0.74753,0.93723,0.83027,0.86382,0.86526,0.64433,0.77786,0.81796,0.78169,0.77269,0.92522,0.89721,0.00495,0.64927,0.9051,0.005248,0.005248,0.005248
50,7780.94,0.97463,0.49315,0.10989,0.73694,0.93329,0.82645,0.85487,0.8661,0.6473,0.76866,0.79523,0.77371,0.76133,0.9241,0.96987,0.00366,0.64473,0.90278,0.005149,0.005149,0.005149
51,7937.2,0.96669,0.49579,0.11238,0.72992,0.93496,0.83683,0.86668,0.86869,0.64597,0.77748,0.80227,0.77127,0.7644,0.92452,0.91878,0.00398,0.63871,0.9048,0.00505,0.00505,0.00505
52,8091.86,0.96039,0.49807,0.10755,0.72486,0.92679,0.84249,0.87773,0.87851,0.65627,0.78531,0.82176,0.79318,0.77681,0.91073,0.88593,0.00372,0.61791,0.90438,0.004951,0.004951,0.004951
53,8248.18,0.94708,0.44704,0.10363,0.72006,0.92615,0.82877,0.89008,0.87217,0.65344,0.77154,0.83201,0.78841,0.77929,0.91123,0.90282,0.00493,0.62133,0.89857,0.004852,0.004852,0.004852
54,8402.6,0.94384,0.47104,0.09212,0.70932,0.9222,0.84077,0.86879,0.87305,0.6583,0.79229,0.81312,0.79224,0.77782,0.90711,0.85326,0.00495,0.6179,0.89511,0.004753,0.004753,0.004753
55,8557.31,0.93573,0.43636,0.09238,0.7028,0.92124,0.84203,0.87674,0.87885,0.66414,0.78843,0.81909,0.79552,0.78827,0.89427,0.85974,0.00483,0.60398,0.89326,0.004654,0.004654,0.004654
56,8713.63,0.9398,0.46065,0.09521,0.70636,0.92292,0.85354,0.86382,0.87728,0.66683,0.79774,0.80374,0.79305,0.78617,0.89027,0.86251,0.0045,0.59789,0.89152,0.004555,0.004555,0.004555
57,8867.86,0.92818,0.43876,0.10057,0.69731,0.91859,0.8622,0.87076,0.88793,0.66862,0.81964,0.81213,0.80757,0.80084,0.87862,0.73598,0.0043,0.59846,0.88946,0.004456,0.004456,0.004456
58,9023.66,0.92252,0.40732,0.09642,0.68306,0.91233,0.85894,0.88372,0.88637,0.67307,0.80784,0.833,0.80486,0.79977,0.88386,0.77324,0.00471,0.58826,0.89148,0.004357,0.004357,0.004357
59,9178.08,0.91568,0.39347,0.09198,0.67938,0.91127,0.84415,0.88302,0.88535,0.67308,0.79664,0.83332,0.8131,0.80602,0.87616,0.69189,0.00407,0.59142,0.88438,0.004258,0.004258,0.004258
60,9333.49,0.90699,0.41213,0.09179,0.67458,0.90731,0.86564,0.87096,0.89306,0.68514,0.8185,0.82037,0.82278,0.81596,0.8608,0.705,0.00385,0.5766,0.88127,0.004159,0.004159,0.004159
61,9488.87,0.89568,0.371,0.08861,0.67234,0.91401,0.85556,0.88767,0.89579,0.68191,0.81379,0.81213,0.81584,0.81044,0.85691,0.75057,0.00338,0.57585,0.88242,0.00406,0.00406,0.00406
62,9643.18,0.89491,0.35998,0.08506,0.65995,0.90989,0.86711,0.8837,0.89675,0.68519,0.81941,0.82107,0.80992,0.80224,0.86605,0.79177,0.00318,0.57209,0.88619,0.003961,0.003961,0.003961
63,9799.52,0.87534,0.37011,0.09024,0.65571,0.9028,0.86526,0.88732,0.89894,0.68539,0.79063,0.8499,0.81941,0.81164,0.85832,0.75139,0.00391,0.56706,0.88109,0.003862,0.003862,0.003862
64,9953.63,0.88497,0.37044,0.09414,0.64935,0.90675,0.86463,0.87873,0.89705,0.68559,0.81215,0.83101,0.82458,0.81737,0.8529,0.71844,0.00422,0.56448,0.88038,0.003763,0.003763,0.003763
65,10110.1,0.87419,0.38319,0.0909,0.64412,0.89757,0.85643,0.89535,0.89397,0.68007,0.81156,0.84891,0.82382,0.81845,0.85023,0.69522,0.00365,0.56868,0.87675,0.003664,0.003664,0.003664
66,10265.2,0.86524,0.32826,0.08223,0.63918,0.90045,0.86035,0.88796,0.89896,0.68943,0.81444,0.84592,0.82511,0.81964,0.84238,0.70251,0.00362,0.56423,0.87951,0.003565,0.003565,0.003565
67,10419.9,0.86644,0.33198,0.08725,0.63369,0.90116,0.86844,0.8858,0.89758,0.69177,0.82068,0.83709,0.82507,0.81937,0.83453,0.69611,0.00386,0.55636,0.87443,0.003466,0.003466,0.003466
68,10575.7,0.85045,0.36459,0.07966,0.62121,0.89527,0.87308,0.87972,0.89597,0.69548,0.82753,0.834,0.8257,0.81533,0.83207,0.69201,0.00348,0.54833,0.87369,0.003367,0.003367,0.003367
69,10729.9,0.85182,0.2866,0.07387,0.62232,0.89594,0.86947,0.88066,0.89639,0.69811,0.8227,0.834,0.82443,0.81666,0.82291,0.6548,0.00389,0.54653,0.87048,0.003268,0.003268,0.003268
70,10886,0.83624,0.2902,0.08214,0.60897,0.89328,0.87071,0.89264,0.89992,0.69757,0.82223,0.84294,0.82075,0.81567,0.81629,0.66142,0.00352,0.54117,0.86948,0.003169,0.003169,0.003169
71,11040.3,0.83666,0.28639,0.07742,0.6118,0.89103,0.87531,0.88668,0.90509,0.70585,0.81256,0.85586,0.8271,0.82261,0.8219,0.64819,0.00318,0.5443,0.87028,0.00307,0.00307,0.00307
72,11196,0.82247,0.28795,0.07431,0.60286,0.88875,0.8812,0.88479,0.90392,0.70527,0.8365,0.82899,0.8271,0.82236,0.81393,0.6501,0.00274,0.53312,0.86847,0.002971,0.002971,0.002971
73,11351.7,0.81425,0.29744,0.08153,0.59626,0.88707,0.88381,0.88867,0.90951,0.70732,0.82991,0.84394,0.83772,0.83001,0.8108,0.64844,0.00247,0.52836,0.86747,0.002872,0.002872,0.002872
74,11506.1,0.81899,0.2766,0.0772,0.58764,0.89024,0.89111,0.88966,0.90702,0.70797,0.8425,0.83481,0.83339,0.82897,0.81086,0.65889,0.00287,0.53215,0.86654,0.002773,0.002773,0.002773
75,11661.8,0.8079,0.26174,0.07112,0.58645,0.8868,0.89705,0.87972,0.9063,0.70938,0.85086,0.834,0.83234,0.82835,0.80542,0.6431,0.00262,0.5295,0.86588,0.002674,0.002674,0.002674
76,11815.8,0.80582,0.26755,0.07316,0.57624,0.88546,0.88617,0.89761,0.90473,0.70796,0.83021,0.85059,0.83051,0.82643,0.80458,0.64214,0.00289,0.52631,0.86484,0.002575,0.002575,0.002575
77,11971.7,0.79867,0.25786,0.07043,0.57738,0.8797,0.88595,0.89563,0.90461,0.70791,0.83777,0.84692,0.83371,0.82651,0.79837,0.63192,0.00294,0.52583,0.86119,0.002476,0.002476,0.002476
78,12126.3,0.79344,0.24864,0.06792,0.57496,0.8833,0.88222,0.89351,0.90544,0.71178,0.83073,0.84395,0.83188,0.8248,0.79121,0.63358,0.00307,0.5255,0.85981,0.002377,0.002377,0.002377
79,12280.9,0.78399,0.25707,0.07387,0.56528,0.88151,0.88947,0.88791,0.90738,0.71303,0.84141,0.83499,0.83011,0.82339,0.7914,0.67634,0.00277,0.52408,0.85981,0.002278,0.002278,0.002278
80,12436.7,0.78795,0.23862,0.07377,0.56442,0.87925,0.89137,0.89364,0.90728,0.71496,0.84188,0.84394,0.83416,0.82783,0.79079,0.64322,0.00274,0.52368,0.85862,0.002179,0.002179,0.002179
81,12591.2,0.77282,0.26548,0.06533,0.5554,0.87732,0.88501,0.89563,0.90666,0.71266,0.83786,0.84791,0.83637,0.83081,0.78835,0.61159,0.00282,0.52708,0.85878,0.00208,0.00208,0.00208
82,12746.7,0.76923,0.23629,0.06635,0.54957,0.87951,0.88346,0.89673,0.90523,0.71451,0.84189,0.84394,0.83518,0.83165,0.78792,0.61268,0.00265,0.52472,0.859,0.001981,0.001981,0.001981
83,12901.1,0.76044,0.22054,0.07404,0.54466,0.87637,0.89153,0.89051,0.90718,0.71552,0.84671,0.84294,0.83897,0.83297,0.7841,0.61568,0.0025,0.5227,0.85845,0.001882,0.001882,0.001882
84,13056.3,0.74932,0.21643,0.06699,0.54543,0.87428,0.8874,0.89662,0.90964,0.71783,0.84018,0.84658,0.84049,0.8331,0.77941,0.61146,0.00275,0.51504,0.85651,0.001783,0.001783,0.001783
85,13211.7,0.75564,0.22391,0.07118,0.53625,0.87623,0.89678,0.89264,0.91012,0.71834,0.84936,0.84294,0.83802,0.8321,0.78157,0.61424,0.00295,0.51506,0.85646,0.001684,0.001684,0.001684
86,13366.5,0.74137,0.21888,0.06258,0.52729,0.86436,0.90061,0.89172,0.91075,0.71927,0.84896,0.83811,0.83563,0.82917,0.77623,0.63596,0.00279,0.51338,0.85592,0.001585,0.001585,0.001585
87,13522.6,0.73939,0.22041,0.05886,0.5271,0.8696,0.90043,0.88966,0.9099,0.71826,0.8506,0.83897,0.83399,0.82991,0.77197,0.62954,0.00259,0.51234,0.85491,0.001486,0.001486,0.001486
88,13676.9,0.73626,0.21818,0.065,0.52465,0.86673,0.89992,0.89364,0.91202,0.7193,0.83623,0.85487,0.83548,0.8312,0.77382,0.62993,0.00267,0.51078,0.85473,0.001387,0.001387,0.001387
89,13832.5,0.72663,0.24137,0.05953,0.5122,0.86638,0.90106,0.8962,0.91286,0.72165,0.85014,0.84394,0.83852,0.83456,0.77131,0.63123,0.00252,0.50651,0.8538,0.001288,0.001288,0.001288
90,13988,0.72619,0.19719,0.06614,0.5113,0.86868,0.90105,0.89613,0.9127,0.72129,0.85002,0.84505,0.83899,0.83521,0.76912,0.62487,0.00251,0.50661,0.8535,0.001189,0.001189,0.001189
91,14154.3,0.69935,0.23001,0.03719,0.46941,0.85896,0.88606,0.90855,0.91329,0.7259,0.83648,0.85885,0.84274,0.83542,0.76701,0.63904,0.00211,0.50532,0.8532,0.00109,0.00109,0.00109
92,14308.7,0.6777,0.22249,0.03782,0.45943,0.85718,0.89317,0.90457,0.91509,0.72963,0.84351,0.85487,0.84923,0.84146,0.76409,0.62569,0.00188,0.50382,0.85218,0.000991,0.000991,0.000991
93,14464.3,0.66971,0.22982,0.03142,0.446,0.85139,0.89961,0.90159,0.91682,0.73459,0.84651,0.84891,0.84608,0.84051,0.76206,0.63203,0.00167,0.49873,0.85238,0.000892,0.000892,0.000892
94,14619.3,0.66231,0.21346,0.0392,0.44343,0.85131,0.89938,0.90358,0.91924,0.73896,0.84479,0.85586,0.84999,0.84473,0.75931,0.63165,0.00151,0.49716,0.85194,0.000793,0.000793,0.000793
95,14776,0.65126,0.21888,0.03556,0.43307,0.8468,0.89935,0.89705,0.92054,0.74018,0.84219,0.86083,0.85467,0.84855,0.76042,0.61682,0.00142,0.4944,0.8517,0.000694,0.000694,0.000694
96,14931.6,0.64498,0.21741,0.03411,0.42572,0.84874,0.90529,0.89463,0.92121,0.74171,0.84461,0.86382,0.86206,0.85433,0.75967,0.6097,0.00137,0.49546,0.85176,0.000595,0.000595,0.000595
97,15087.1,0.63948,0.20536,0.03218,0.41733,0.84608,0.91063,0.89128,0.92212,0.74487,0.84615,0.85885,0.86127,0.85695,0.75761,0.60314,0.00134,0.49504,0.85162,0.000496,0.000496,0.000496
98,15241,0.63763,0.20188,0.03739,0.41624,0.84798,0.91136,0.88918,0.92179,0.74472,0.84756,0.85663,0.8609,0.85693,0.75653,0.59518,0.0013,0.49449,0.85133,0.000397,0.000397,0.000397
99,15395.8,0.63152,0.19803,0.03284,0.41442,0.84482,0.91318,0.88869,0.92315,0.74564,0.84773,0.85984,0.86261,0.85892,0.75614,0.58884,0.00127,0.49423,0.85118,0.000298,0.000298,0.000298
100,15553.3,0.62363,0.19641,0.03308,0.41168,0.84337,0.91409,0.88841,0.924,0.74855,0.85089,0.85984,0.86358,0.85992,0.75635,0.58785,0.00125,0.49435,0.85104,0.000199,0.000199,0.000199
