epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.111,2.01378,3.74104,0.44873,2.2314,1.43466,0.73451,0.66086,0.7206,0.41943,0.50171,0.46265,0.3875,0.22741,1.43664,3.68593,0.08603,1.04042,1.06908,0.00332672,0.00332672,0.00332672
2,327.062,1.52871,2.86987,0.24532,1.18673,1.10143,0.67739,0.57911,0.66466,0.38712,0.48073,0.41209,0.37748,0.24958,1.47303,3.41911,0.04442,1.15029,1.10321,0.00659412,0.00659412,0.00659412
3,493.03,1.5909,2.80394,0.22818,1.28277,1.15518,0.68898,0.57532,0.624,0.32135,0.47488,0.42468,0.34778,0.2756,1.66808,3.47583,0.03835,1.42507,1.24469,0.00979552,0.00979552,0.00979552
4,656.92,1.61909,2.70299,0.21209,1.33634,1.19179,0.6873,0.58735,0.64187,0.36394,0.47685,0.42392,0.32286,0.2393,1.56359,3.61202,0.01512,1.36746,1.19103,0.009703,0.009703,0.009703
5,821.25,1.52787,2.58774,0.19738,1.23422,1.15614,0.75516,0.66776,0.71597,0.42274,0.53241,0.48827,0.37572,0.29271,1.43741,3.24019,0.01753,1.237,1.14143,0.009604,0.009604,0.009604
6,985.265,1.49778,2.44033,0.19176,1.17442,1.13517,0.78777,0.71652,0.77202,0.47103,0.55654,0.53671,0.41506,0.35958,1.36215,3.13192,0.01072,0.97216,1.10879,0.009505,0.009505,0.009505
7,1150.23,1.42631,2.2489,0.19387,1.09571,1.11791,0.75823,0.71385,0.76451,0.4779,0.57087,0.5405,0.47962,0.37589,1.33514,2.89208,0.01569,0.99577,1.10274,0.009406,0.009406,0.009406
8,1315.61,1.37952,2.14223,0.17895,1.05254,1.09462,0.78246,0.71882,0.7777,0.4914,0.58964,0.54168,0.47654,0.38689,1.2788,2.894,0.0148,0.96533,1.07703,0.009307,0.009307,0.009307
9,1481.08,1.35414,2.11738,0.17163,1.02221,1.07973,0.83433,0.69114,0.78202,0.49719,0.55067,0.49912,0.4071,0.35006,1.27712,3.05597,0.01324,0.95186,1.05932,0.009208,0.009208,0.009208
10,1643.03,1.32738,2.08145,0.1724,0.99917,1.06477,0.82513,0.77517,0.82434,0.52629,0.66691,0.62074,0.57153,0.497,1.21554,2.48264,0.01173,0.84945,1.03631,0.009109,0.009109,0.009109
