epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9803.16,0.74477,0.4485,0.92346,0.9687,0.98338,0.98964,0.85847,0.66063,0.32241,0.88672,0.005842,0.005842,0.005842
44,10028.7,0.74621,0.44561,0.92145,0.97248,0.98109,0.98807,0.85683,0.65329,0.31787,0.88279,0.005743,0.005743,0.005743
45,10254.6,0.73484,0.44832,0.91782,0.97805,0.98033,0.98981,0.85939,0.64816,0.31565,0.88453,0.005644,0.005644,0.005644
46,10481.2,0.73972,0.44272,0.9224,0.97725,0.97461,0.99015,0.85804,0.65162,0.31903,0.88793,0.005545,0.005545,0.005545
47,10706.9,0.72233,0.43668,0.91532,0.97631,0.97882,0.99123,0.86043,0.64494,0.31098,0.88077,0.005446,0.005446,0.005446
48,10932.4,0.72569,0.43538,0.91835,0.97641,0.9826,0.99126,0.86342,0.63854,0.30823,0.87854,0.005347,0.005347,0.005347
49,11158.2,0.71482,0.43126,0.91325,0.97591,0.98045,0.99034,0.86389,0.63154,0.31058,0.87594,0.005248,0.005248,0.005248
50,11384.5,0.71142,0.42324,0.91309,0.98035,0.9814,0.99065,0.86529,0.63077,0.30555,0.87879,0.005149,0.005149,0.005149
51,11610.4,0.71472,0.42648,0.91353,0.98031,0.9792,0.98893,0.86959,0.61865,0.30187,0.87072,0.00505,0.00505,0.00505
52,11836.1,0.69992,0.41695,0.90921,0.9825,0.97693,0.98858,0.8678,0.61698,0.30279,0.87378,0.004951,0.004951,0.004951
53,12062,0.69962,0.41502,0.91113,0.98596,0.97579,0.98792,0.86845,0.61921,0.29624,0.87238,0.004852,0.004852,0.004852
54,12288,0.69209,0.40924,0.90548,0.98476,0.97882,0.98849,0.87097,0.60945,0.29161,0.87142,0.004753,0.004753,0.004753
55,12514.6,0.69302,0.40866,0.90404,0.97891,0.983,0.98991,0.871,0.61755,0.2919,0.87084,0.004654,0.004654,0.004654
56,12740.4,0.68421,0.40443,0.90604,0.98334,0.98109,0.99106,0.87001,0.61341,0.29099,0.87076,0.004555,0.004555,0.004555
57,12965.8,0.68292,0.40098,0.90443,0.9795,0.98714,0.99101,0.87366,0.60335,0.28723,0.86722,0.004456,0.004456,0.004456
58,13192,0.67495,0.40076,0.89842,0.98147,0.98185,0.98992,0.87697,0.59865,0.286,0.86783,0.004357,0.004357,0.004357
59,13418.2,0.67477,0.39868,0.90129,0.98221,0.98411,0.98958,0.87229,0.59484,0.28341,0.86654,0.004258,0.004258,0.004258
60,13644,0.66608,0.39264,0.89949,0.97969,0.98536,0.99046,0.87643,0.59389,0.28333,0.86571,0.004159,0.004159,0.004159
61,13869.8,0.66075,0.38919,0.898,0.98243,0.98411,0.9899,0.87694,0.59131,0.28229,0.86574,0.00406,0.00406,0.00406
62,14095.6,0.661,0.39266,0.89737,0.97755,0.9879,0.99181,0.87879,0.58801,0.27831,0.8649,0.003961,0.003961,0.003961
63,14322,0.6531,0.38957,0.8953,0.98182,0.98034,0.99175,0.87987,0.58223,0.2767,0.86143,0.003862,0.003862,0.003862
64,14548,0.64494,0.38114,0.89119,0.98248,0.98411,0.99217,0.88031,0.58543,0.27542,0.86179,0.003763,0.003763,0.003763
65,14773.8,0.64944,0.38145,0.89215,0.98052,0.98411,0.99183,0.8784,0.58666,0.27242,0.86184,0.003664,0.003664,0.003664
66,15000.1,0.63692,0.37672,0.88839,0.98044,0.98596,0.99199,0.88134,0.58392,0.27272,0.85907,0.003565,0.003565,0.003565
67,15226,0.63761,0.37218,0.89072,0.98486,0.98404,0.99213,0.88063,0.57858,0.26958,0.85881,0.003466,0.003466,0.003466
68,15452.2,0.62998,0.36703,0.8872,0.98342,0.98713,0.99256,0.8834,0.57467,0.26702,0.85678,0.003367,0.003367,0.003367
69,15678.5,0.62693,0.37053,0.88982,0.98261,0.9879,0.99253,0.88249,0.57188,0.26545,0.85642,0.003268,0.003268,0.003268
70,15904.1,0.62105,0.3658,0.88519,0.98423,0.98411,0.99107,0.88465,0.57056,0.26447,0.85736,0.003169,0.003169,0.003169
71,16130.3,0.62416,0.36234,0.88595,0.98413,0.98496,0.9915,0.88357,0.567,0.26377,0.85626,0.00307,0.00307,0.00307
72,16356.7,0.616,0.36088,0.88456,0.98357,0.98714,0.9915,0.88348,0.56112,0.26429,0.85432,0.002971,0.002971,0.002971
73,16582.1,0.61095,0.35591,0.8801,0.98269,0.98756,0.99182,0.88559,0.55988,0.26218,0.85435,0.002872,0.002872,0.002872
74,16808.5,0.60552,0.35101,0.88143,0.98352,0.98563,0.99271,0.88691,0.56013,0.25838,0.85432,0.002773,0.002773,0.002773
75,17034.3,0.60014,0.35065,0.87869,0.98215,0.98638,0.99274,0.88715,0.55867,0.25725,0.85412,0.002674,0.002674,0.002674
76,17260.1,0.60047,0.34667,0.88185,0.98334,0.98638,0.99237,0.88596,0.5574,0.25763,0.85303,0.002575,0.002575,0.002575
77,17486.2,0.60073,0.34604,0.87993,0.98215,0.98714,0.9925,0.88898,0.55461,0.25584,0.85285,0.002476,0.002476,0.002476
78,17711.7,0.59304,0.34468,0.8772,0.98269,0.98766,0.99231,0.88844,0.55415,0.25453,0.85265,0.002377,0.002377,0.002377
79,17937.9,0.59134,0.33981,0.87755,0.98635,0.98396,0.99223,0.88899,0.55341,0.25513,0.85216,0.002278,0.002278,0.002278
80,18164.6,0.57861,0.33658,0.87077,0.9833,0.98563,0.99196,0.88962,0.55229,0.25501,0.85233,0.002179,0.002179,0.002179
81,18390.9,0.57422,0.33265,0.87012,0.97906,0.99006,0.99216,0.88858,0.55098,0.25383,0.85145,0.00208,0.00208,0.00208
82,18617,0.57402,0.33099,0.8749,0.9829,0.98487,0.99196,0.88888,0.55166,0.25398,0.85125,0.001981,0.001981,0.001981
83,18842.6,0.5674,0.32679,0.86836,0.98342,0.9871,0.99224,0.88955,0.55024,0.25195,0.85132,0.001882,0.001882,0.001882
84,19068.3,0.56406,0.32323,0.86879,0.98415,0.98633,0.99243,0.89078,0.54896,0.25056,0.85073,0.001783,0.001783,0.001783
85,19295,0.56563,0.32385,0.87168,0.98249,0.98865,0.99245,0.89218,0.54783,0.25122,0.85095,0.001684,0.001684,0.001684
86,19520.5,0.5589,0.31892,0.87086,0.9851,0.98563,0.9927,0.89215,0.54667,0.25263,0.8506,0.001585,0.001585,0.001585
87,19746,0.55255,0.3168,0.86846,0.98262,0.98865,0.99207,0.89073,0.54701,0.25093,0.85051,0.001486,0.001486,0.001486
88,19971.8,0.55384,0.3132,0.86905,0.98562,0.98638,0.99206,0.8903,0.54488,0.25035,0.84963,0.001387,0.001387,0.001387
89,20197.7,0.5428,0.30539,0.86229,0.98638,0.98609,0.99202,0.89026,0.54186,0.24912,0.84888,0.001288,0.001288,0.001288
90,20424,0.5418,0.31001,0.86673,0.98662,0.98563,0.99203,0.89306,0.53942,0.24682,0.84843,0.001189,0.001189,0.001189
91,20655.1,0.4972,0.26882,0.85141,0.98713,0.98625,0.9913,0.89179,0.53823,0.24734,0.84838,0.00109,0.00109,0.00109
92,20880.8,0.49891,0.26897,0.85442,0.98656,0.98563,0.99123,0.89287,0.5368,0.24681,0.84808,0.000991,0.000991,0.000991
93,21107.2,0.48592,0.26132,0.84717,0.9865,0.98638,0.99113,0.8931,0.53548,0.24643,0.84787,0.000892,0.000892,0.000892
94,21333.4,0.48161,0.25709,0.8445,0.9871,0.98435,0.99106,0.89409,0.53514,0.24655,0.84797,0.000793,0.000793,0.000793
95,21559.3,0.47242,0.25421,0.8458,0.98718,0.98411,0.99166,0.89459,0.53435,0.24614,0.84769,0.000694,0.000694,0.000694
96,21784.5,0.47499,0.25187,0.84666,0.98806,0.98336,0.99169,0.89498,0.53406,0.24492,0.84742,0.000595,0.000595,0.000595
97,22009.8,0.46802,0.24952,0.84562,0.9867,0.98563,0.99171,0.89514,0.53398,0.24483,0.84731,0.000496,0.000496,0.000496
98,22236.5,0.46485,0.2465,0.84396,0.98712,0.9854,0.99112,0.8948,0.53341,0.24477,0.84695,0.000397,0.000397,0.000397
99,22462.2,0.46032,0.24554,0.84351,0.9875,0.98487,0.99058,0.8946,0.53408,0.24508,0.84682,0.000298,0.000298,0.000298
100,22687.4,0.45911,0.24172,0.84057,0.98786,0.98508,0.99062,0.89443,0.53342,0.2443,0.84667,0.000199,0.000199,0.000199
